product_id,name,price,quantity,sku,ean,category,manufacturer,weight,image,attributes_json,attributes_text,original_price,original_quantity,price_changed,quantity_changed
W0160.R3.DIW.01,"Pierścionek W0160 Diament 0,13ct różowe złoto",2216.46,3,W0160.R3.DIW.01,5906803034301,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/39935/W0160.R3.DIW.01_1.jpg,{},,1060.00,in stock,TAK,TAK
W0163.R3.DIW.01,"Pierścionek W0163 Diament 0,10ct różowe złoto",2132.82,3,W0163.R3.DIW.01,5906803034332,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/62840/W0163.R3.DIW.01_1.jpg,{},,1020.00,in stock,TAK,TAK
W0163.R3.DIW.03,"Pierścionek W0163 Diament 0,30ct różowe złoto",4606.96,3,W0163.R3.DIW.03,5906803034349,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/62844/W0163.R3.DIW.03_1.jpg,{},,2270.00,in stock,TAK,TAK
W0171.R3.DIW.01,"Pierścionek W0171 Diament 0,12ct różowe złoto",2153.73,3,W0171.R3.DIW.01,5906803034356,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/39995/W0171.R3.DIW.01_1.jpg,{},,1030.00,in stock,TAK,TAK
W0175.R3.DIW.01,"Pierścionek W0175 Diament 0,03ct różowe złoto",1614.38,3,W0175.R3.DIW.01,5906803034363,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/40019/W0175.R3.DIW.01_1.jpg,{},,750.00,in stock,TAK,TAK
W0177.R3.DIW.01,"Pierścionek W0177 Diament 0,13ct różowe złoto",2906.49,3,W0177.R3.DIW.01,5906803034387,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/40043/W0177.R3.DIW.01_1.jpg,{},,1390.00,in stock,TAK,TAK
W0178.R3.DIW.01,"Pierścionek W0178 Diament 0,04ct różowe złoto",1958.77,3,W0178.R3.DIW.01,5906803034394,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/40059/W0178.R3.DIW.01_1.jpg,{},,910.00,in stock,TAK,TAK
W0178.R3.DIW.02,"Pierścionek W0178 Diament 0,10ct różowe złoto",2132.82,3,W0178.R3.DIW.02,5906803034400,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/40063/W0178.R3.DIW.02_1.jpg,{},,1020.00,in stock,TAK,TAK
W0179.R3.DIW.01,Pierścionek W0179 z diamentami różowe złoto,1463.70,3,W0179.R3.DIW.01,5906803034417,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/40079/W0179.R3.DIW.01_1.jpg,{},,680.00,in stock,TAK,TAK
W0180.R3.DIW.01,"Pierścionek W0180 Diament 0,10ct różowe złoto",2404.65,3,W0180.R3.DIW.01,5906803034424,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/40091/W0180.R3.DIW.01_1.jpg,{},,1150.00,in stock,TAK,TAK
W0181.R3.DIW.01,"Pierścionek W0181 Diament 0,04ct różowe złoto",1872.67,3,W0181.R3.DIW.01,5906803034431,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/40103/W0181.R3.DIW.01_1.jpg,{},,870.00,in stock,TAK,TAK
W0184.R3.DIW.01,"Pierścionek W0184 Diament 0,17ct różowe złoto",2948.31,3,W0184.R3.DIW.01,5906803034615,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/40223/W0184.R3.DIW.01_1.jpg,{},,1410.00,in stock,TAK,TAK
W0187.R3.DIW.01,"Pierścionek W0187 Diament 0,04ct różowe złoto",1678.95,3,W0187.R3.DIW.01,5906803034691,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/40275/W0187.R3.DIW.01_1.jpg,{},,780.00,in stock,TAK,TAK
W0188.R3.DIW.01,"Pierścionek W0188 Diament 0,02ct różowe złoto",1765.05,3,W0188.R3.DIW.01,5906803034707,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/40287/W0188.R3.DIW.01_1.jpg,{},,820.00,in stock,TAK,TAK
W0189.R3.DIW.01,Pierścionek W0189 z diamentami różowe złoto,1743.52,3,W0189.R3.DIW.01,5906803034714,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/40299/W0189.R3.DIW.01_1.jpg,{},,810.00,in stock,TAK,TAK
W0190.R3.DIW.03,"Pierścionek W0190B Diament 0,08ct różowe złoto",2044.88,3,W0190.R3.DIW.03,5906803034721,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/49420/W0190.R3.DIW.03_1.jpg,{},,950.00,in stock,TAK,TAK
W0190.R3.DIW.04,"Pierścionek W0190B Diament 0,10ct różowe złoto",2237.37,3,W0190.R3.DIW.04,5906803034738,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/49424/W0190.R3.DIW.04_1.jpg,{},,1070.00,in stock,TAK,TAK
W0190.R3.DIW.01,"Pierścionek W0190 Diament 0,04ct różowe złoto",1678.95,3,W0190.R3.DIW.01,5906803034745,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/49428/W0190.R3.DIW.01_1.jpg,{},,780.00,in stock,TAK,TAK
W0191.R3.DIW.01,"Pierścionek W0191 Diament 0,04ct różowe złoto",1678.95,3,W0191.R3.DIW.01,5906803034752,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/49432/W0191.R3.DIW.01_1.jpg,{},,780.00,in stock,TAK,TAK
W0191.R3.DIW.03,"Pierścionek W0191B Diament 0,10ct różowe złoto",2237.37,3,W0191.R3.DIW.03,5906803034769,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/49436/W0191.R3.DIW.03_1.jpg,{},,1070.00,in stock,TAK,TAK
W0192.R3.DIW.01,Pierścionek W0192 z diamentami różowe złoto,2044.88,3,W0192.R3.DIW.01,5906803034776,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/40346/W0192.R3.DIW.01_1.jpg,{},,950.00,in stock,TAK,TAK
W0196.R3.DIW.01,Pierścionek W0196 z diamentami różowe złoto,1528.27,3,W0196.R3.DIW.01,5906803034813,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/40394/W0196.R3.DIW.01_1.jpg,{},,710.00,in stock,TAK,TAK
W0197.R3.DIW.01,"Pierścionek W0197 Diament 0,24ct różowe złoto",4180.77,3,W0197.R3.DIW.01,5906803034820,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/40406/W0197.R3.DIW.01_1.jpg,{},,2060.00,in stock,TAK,TAK
W0198.R3.DIW.01,"Pierścionek W0198 Diament 0,30ct różowe złoto",4951.98,3,W0198.R3.DIW.01,5906803034837,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/55767/W0198.R3.DIW.01_1.jpg,{},,2440.00,in stock,TAK,TAK
W0199.R3.DIW.01,"Pierścionek W0199 Diament 0,20ct różowe złoto",4485.19,3,W0199.R3.DIW.01,5906803034844,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/40430/W0199.R3.DIW.01_1.jpg,{},,2210.00,in stock,TAK,TAK
W0200.R3.DIW.01,"Pierścionek W0200 Diament 0,15ct różowe złoto",3876.35,3,W0200.R3.DIW.01,5906803034851,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/40442/W0200.R3.DIW.01_1.jpg,{},,1910.00,in stock,TAK,TAK
W0201.R3.DIW.01,"Pierścionek W0201 Diament 0,13ct różowe złoto",3366.51,3,W0201.R3.DIW.01,5906803034868,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/55090/W0201.R3.DIW.01_3.jpg,{},,1610.00,in stock,TAK,TAK
W0207.R3.DIW.01,"Pierścionek W0207 Diament 0,08ct różowe złoto",2446.47,3,W0207.R3.DIW.01,5906803034943,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/49448/W0207.R3.DIW.01_1.jpg,{},,1170.00,in stock,TAK,TAK
W0207.R3.DIW.02,"Pierścionek W0207 Diament 0,10ct różowe złoto",2676.48,3,W0207.R3.DIW.02,5906803034950,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/49452/W0207.R3.DIW.02_1.jpg,{},,1280.00,in stock,TAK,TAK
W0208.R3.DIW.01,"Pierścionek W0208 Diament 0,08ct różowe złoto",2341.92,3,W0208.R3.DIW.01,5906803034967,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/49456/W0208.R3.DIW.01_1.jpg,{},,1120.00,in stock,TAK,TAK
W0208.R3.DIW.02,"Pierścionek W0208 Diament 0,10ct różowe złoto",2592.84,3,W0208.R3.DIW.02,5906803034974,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/49460/W0208.R3.DIW.02_1.jpg,{},,1240.00,in stock,TAK,TAK
W0209.R3.DIW.01,"Pierścionek W0209 Diament 0,08ct różowe złoto",1722.00,3,W0209.R3.DIW.01,5906803034981,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/49464/W0209.R3.DIW.01_1.jpg,{},,800.00,in stock,TAK,TAK
W0209.R3.DIW.02,"Pierścionek W0209 Diament 0,10ct różowe złoto",1980.30,3,W0209.R3.DIW.02,5906803034998,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/49468/W0209.R3.DIW.02_1.jpg,{},,920.00,in stock,TAK,TAK
