product_id,sku,price
2362,W0271.Z3.DIW.01,4546.08
2363,W0272.Z3.DIW.01,3348.67
2364,W0273.Z3.DIW.01,2551.02
2366,W0276.Z3.DIW.01,2111.91
2368,W0278.Z3.DIW.01,3052.86
2370,W0285.Z3.DIW.01,1635.90
2371,W0286.Z3.DIW.01,2001.83
2373,W0288.Z3.DIW.01,2341.92
2374,W0288.Z3.DIW.02,4140.18
2376,W0291.Z3.DIW.01,4282.24
2377,W0291.Z3.DIW.02,4891.10
2378,W0292.Z3.DIW.02,3490.74
2379,W0293.Z3.DIW.01,3998.11
2381,W0294.Z3.DIW.01,3052.86
2382,W0294.Z3.DIW.02,3368.97
2383,W0294.Z3.DIW.03,3916.93
2384,W0295.Z3.DIW.01,2885.58
2385,W0295.Z3.DIW.02,3199.23
2389,W0299.Z3.DIW.01,2697.39
2393,W0302.Z3.DIW.01,3511.03
2394,W0305.Z3.DIW.01,2153.73
2395,W0306.Z3.DIW.01,1722.00
2396,W0311.Z3.DIW.01,2153.73
2397,W0314.Z3.DIW.01,2383.74
2398,W0317.Z3.DIW.01,3571.92
2400,W0318.Z3.DIW.02,2509.20
2405,W0320.Z3.DIW.02,2300.10
2406,W0320.Z3.DIW.03,2425.56
2407,W0320.Z3.DIW.07,4485.19
2408,W0322.Z3.DIW.01,1937.25
2413,W0329.Z3.DIW.01,2676.48
2415,W0331.Z3.DIW.01,2237.37
2416,W0332.Z3.DIW.01,1894.20
2419,W0335.Z3.DIW.01,2509.20
2425,W0340.Z3.DIW.06,4282.24
2429,W0340.Z3.DIW.02,2530.11
2430,W0341.Z3.DIW.01,4505.49
2432,W0343.Z3.DIW.01,3136.50
2434,W0344.Z3.DIW.01,6230.56
2435,W0345.Z3.DIW.01,5743.48
2436,W0346.Z3.DIW.02,4302.54
2437,W0346.Z3.DIW.01,2237.37
2438,W0347.Z3.DIW.01,4444.60
2440,W0349.Z3.DIW.01,3052.86
2442,W0352.Z3.DIW.01,5073.75
2443,W0353.Z3.DIW.01,3052.86
2444,W0355.Z3.DIW.01,5154.93
2445,W0356.Z3.DIW.01,6129.09
2447,W0360.Z3.DIW.01,2718.30
2448,W0361.Z3.DIW.01,2634.66
2449,W0362.Z3.DIW.01,3571.92
2451,W0364.Z3.DIW.01,4931.68
2452,W0365.Z3.DIW.01,2781.03
2456,W0367.Z3.DIW.01,2592.84
2458,W0369.Z3.DIW.01,3052.86
2467,W0377.Z3.DIW.01,4343.13
2471,W0381.Z3.DIW.01,3303.78
2472,W0382.Z3.DIW.01,3115.59
2477,W0387.Z3.DIW.01,3693.69
2488,W0399.Z3.DIW.01,3011.04
2489,W0401.Z3.DIW.01,2001.83
2490,W0402.Z3.DIW.01,2885.58
2492,W0404.Z3.DIW.01,8757.60
2496,W0406.Z3.DIW.01,3571.92
2497,W0407.Z3.DIW.01,2153.73
2499,W0408.Z3.DIW.02,4606.96
2501,W0410.Z3.DIW.01,2760.12
2502,W0411.Z3.DIW.01,2571.93
2503,W0412.Z3.DIW.01,3178.32
2504,W0413.Z3.DIW.01,3178.32
2505,W0414.Z3.DIW.01,2781.03
2506,W0415.Z3.DIW.01,2383.74
2507,W0416.Z3.DIW.01,4079.30
2508,W0417.Z3.DIW.01,2132.82
2509,W0418.Z3.DIW.01,2822.85
2510,W0419.Z3.DIW.01,2174.64
2512,W0421.Z3.DIW.01,2195.55
2513,W0423.Z3.DIW.01,8757.60
2515,W0425.Z3.DIW.01,2023.35
2516,W0426.Z3.DIW.01,2066.40
2517,W0427.Z3.DIW.01,2001.83
2518,W0428.Z3.DIW.01,2467.38
2519,W0429.Z3.DIW.01,3835.75
2522,W0432.Z3.DIW.01,2425.56
2523,W0433.Z3.DIW.01,2760.12
2524,W0434.Z3.DIW.01,4546.08
2525,W0435.Z3.DIW.01,2571.93
2527,W0437.Z3.DIW.01,2822.85
2528,W0439.Z3.DIW.01,5621.71
2529,W0442.Z3.DIW.01,3199.23
2532,W0446.Z3.DIW.01,2822.85
2533,W0447.Z3.DIW.01,3916.93
2534,W0448.Z3.DIW.01,2822.85
2535,W0449.Z3.DIW.01,3073.77
2536,W0450.Z3.DIW.02,3303.78
2537,W0450.Z3.DIW.01,2781.03
2539,W0453.Z3.DIW.01,3531.33
2543,W0459.Z3.DIW.03,4525.78
2544,W0459.Z3.DIW.01,2676.48
2547,W0461.Z3.DIW.01,1261.98
2548,W0461.Z3.DIW.02,1420.65
2549,W0461.Z3.DIW.03,1915.73
2550,W0462.Z3.DIW.01,3199.23
2551,W0463.Z3.DIW.01,1958.77
2552,W0464.Z3.DIW.02,1743.52
2553,W0465.Z3.DIW.01,1743.52
2554,W0466.Z3.DIW.01,2321.01
2555,W0467.Z3.DIW.01,1958.77
2556,W0468.Z3.DIW.01,2174.64
2557,W0469.Z3.DIW.01,1915.73
2558,W0470.Z3.DIW.01,1808.10
2559,W0471.Z3.DIW.01,1722.00
2562,W0474.Z3.DIW.01,2801.94
2563,W0475.Z3.DIW.01,2990.13
2564,W0477.Z3.DIW.01,5439.06
2567,W0479.Z3.DIW.01,1062.72
2569,W0482.Z3.DIW.01,6798.82
2570,W0482.Z3.DIW.02,8796.96
2571,W0482.Z3.DIW.03,13894.08
2572,W0482.Z3.DIW.04,23469.01
2574,W0484.Z3.DIW.01,2509.20
2575,W0484.Z3.DIW.02,3052.86
2576,W0484.Z3.DIW.03,3409.56
2583,W0499.Z3.DIW.02,3136.50
2584,W0499.Z3.DIW.03,3693.69
2585,W0500.Z3.DIW.01,1700.47
2587,W0504.Z3.DIW.01,1151.28
2588,W0505.Z3.DIW.01,1084.86
2589,W0506.Z3.DIW.01,2258.28
2590,W0507.Z3.DIW.01,3450.15
2591,W0508.Z3.DIW.01,8344.32
2592,W0508.Z3.DIW.02,10332.00
2593,W0508.Z3.DIW.03,15566.88
2594,W0508.Z3.DIW.04,24536.66
2595,W0509.Z3.DIW.01,1018.44
2596,W0510.Z3.DIW.01,3795.16
2597,W0512.Z3.DIW.01,1129.14
2601,W0519.Z3.DIW.01,15389.76
2603,W0521.Z3.DIW.01,2634.66
2604,W0522.Z3.DIW.01,3178.32
2605,W0523.Z3.DIW.01,1173.42
2606,W0524.Z3.DIW.01,1829.63
2607,W0524.Z3.DIW.02,2001.83
2609,W0524.Z3.DIW.04,3345.60
2610,W0524.Z3.DIW.05,4525.78
2612,W0526.Z3.DIW.01,6636.46
2613,W0526.Z3.DIW.02,8639.52
2614,W0526.Z3.DIW.03,13992.48
2615,W0526.Z3.DIW.04,22954.26
2616,W0528.Z3.DIW.01,2739.21
2617,W0530.Z3.DIW.01,5479.65
2618,W0531.Z3.DIW.01,2237.37
2619,W0532.Z3.DIW.01,3470.45
2620,W0534.Z3.DIW.02,7915.05
2621,W0534.Z3.DIW.03,9800.64
